2024-05-24 14:53:00,1.0789,1.07877,1.0789,1.07877
2024-05-24 14:53:05,1.07872,1.07905,1.07905,1.07872
2024-05-24 14:53:10,1.079,1.07899,1.07903,1.07893
2024-05-24 14:53:20,1.07888,1.07897,1.07897,1.07888
2024-05-24 14:53:25,1.07897,1.07881,1.07903,1.07881
2024-05-24 14:53:30,1.07881,1.07857,1.07881,1.07852
2024-05-24 14:53:35,1.07857,1.07857,1.07857,1.07857
2024-05-24 14:54:00,1.07906,1.07932,1.07936,1.07885
2024-05-24 14:54:05,1.07932,1.07925,1.07935,1.0792
2024-05-24 14:54:10,1.07925,1.07916,1.07925,1.07916
2024-05-24 15:01:20,1.07711,1.07714,1.07719,1.07711
2024-05-24 15:01:25,1.07714,1.07741,1.07741,1.07707
2024-05-24 15:01:30,1.07741,1.0773,1.07759,1.0773
2024-05-26 11:56:20,1.0943,1.09437,1.09437,1.09422
2024-05-26 11:56:25,1.09437,1.09446,1.0945,1.09437
2024-05-26 11:56:30,1.0945,1.09414,1.09452,1.09414
2024-05-26 12:42:50,1.09546,1.09546,1.09551,1.09546
2024-05-26 12:42:55,1.09546,1.09523,1.0957,1.09523
2024-05-26 12:43:00,1.09523,1.09521,1.0953,1.0952
2024-05-26 12:43:05,1.09521,1.09518,1.09521,1.09518
2024-05-26 12:43:15,1.09555,1.09554,1.09565,1.09548
2024-05-26 12:43:20,1.09554,1.09534,1.09566,1.09534
2024-05-26 12:43:25,1.09534,1.09524,1.09534,1.09522
2024-05-26 14:30:05,1.08923,1.08928,1.08942,1.08923
2024-05-26 14:30:10,1.08928,1.08959,1.08963,1.08928
2024-05-26 14:30:15,1.08953,1.08936,1.08956,1.08936
